id,Longitude,Latitude,Elevation
Traject A,vertex: 9
3.6143491,51.0407547,0.0
3.6840248,51.0212059,0.0
3.6886382,51.026307700000004,0.0
Traject N',vertex: 18
3.6143491,51.0407547,0.0
3.6201668,51.03934310000001,0.0
3.6212826,51.0378859,0.0
3.6236857999999996,51.0394511,0.0
3.6314964000000005,51.0382097,0.0
3.6441135000000004,51.0425812,0.0
3.6587048,51.05375060000001,0.0
3.6650562000000004,51.0541283,0.0
3.6697768999999996,51.0527795,0.0
3.6714934999999995,51.0528874,0.0
3.6734676,51.050945,0.0
3.6775017,51.0466823,0.0
3.6779308,51.0415558,0.0
3.6820507,51.03529520000001,0.0
3.6894321000000003,51.0318948,0.0
3.6924362000000004,51.0319487,0.0
3.6923504000000005,51.0307612,0.0
3.6892605,51.0270905,0.0
Traject O,vertex: 5
3.7988663,50.9904212,0.0
3.7700272,50.9996048,0.0
3.7252235,51.0112706,0.0
3.6840248,51.0212059,0.0
3.6886382,51.026307700000004,0.0
Traject P,vertex: 7
3.8353443000000005,51.0530358,0.0
3.7952614000000002,51.0452793,0.0
3.7573242,51.035889,0.0
3.7363815,51.02455320000001,0.0
3.7263393,51.0109466,0.0
3.6840248,51.0212059,0.0
3.6886382,51.026307700000004,0.0
Traject Q,vertex: 12
3.8353443000000005,51.0530358,0.0
3.7585258000000006,51.0359969,0.0
3.7363815,51.02455320000001,0.0
3.7284851,51.0132147,0.0
3.7235498,51.0141461,0.0
3.7180138000000005,51.0145106,0.0
3.7077141000000005,51.017966400000006,0.0
3.7041092,51.02455320000001,0.0
3.7023926,51.0305993,0.0
3.6987876999999996,51.0324345,0.0
3.6943245,51.0331902,0.0
3.6892605,51.0270905,0.0
Traject R,vertex: 18
3.8353443000000005,51.0530358,0.0
3.8239288000000005,51.05024360000001,0.0
3.8220406000000002,51.0477615,0.0
3.8270187,51.0364287,0.0
3.8227272,51.0277923,0.0
3.8154316000000006,51.0229336,0.0
3.8038445000000003,51.01818240000001,0.0
3.7899399,51.010298600000006,0.0
3.7820435,51.0078144,0.0
3.7738681,51.0081114,0.0
3.7689972,51.004898,0.0
3.7302017,51.0139707,0.0
3.7216187,51.0145106,0.0
3.7144089,51.0155906,0.0
3.7077141000000005,51.017966400000006,0.0
3.7018776,51.0299515,0.0
3.6943245,51.0331902,0.0
3.6892605,51.0270905,0.0
Traject S,vertex: 6
3.6472034,50.9798849,0.0
3.699646,50.9870715,0.0
3.7088299000000005,50.9908534,0.0
3.7263393,51.0109466,0.0
3.6840248,51.0212059,0.0
3.6892605,51.0270905,0.0
Traject T,vertex: 2
3.8353443000000005,51.0530358,0.0
3.7573242,51.035889,0.0
Traject U,vertex: 5
3.6472034,50.9798849,0.0
3.699646,50.9870715,0.0
3.7088299000000005,50.9908534,0.0
3.7375832,51.02552490000001,0.0
3.7554359,51.0345936,0.0
